config,mode,paths,n,k,messages,deadline_ms,deadline_success,p50_ms,p95_ms,p99_ms,overhead,late_rate,excess_lateness_mean_ms
best_effort_p1_n1k1,best_effort,1,1,1,1200,20.0,0.9633333333333334,6.265271264470357,13.256052385431758,16.94565145955613,1.0,0.036666666666666625,0.5558157375310975
best_effort_p1_n2k1,best_effort,1,2,1,1200,20.0,0.9966666666666667,5.1814203402427665,9.179353863950382,11.487199791476039,2.0,0.0033333333333332993,0.039779134648483705
best_effort_p1_n3k1,best_effort,1,3,1,1200,20.0,0.9991666666666666,4.693425697521889,7.328810755988524,9.675144644581014,3.0,0.0008333333333333526,0.0004551346537421826
best_effort_p1_n3k2,best_effort,1,3,2,1200,20.0,0.9908333333333333,6.477661418313801,11.214384658568447,13.609038297642837,1.5,0.009166666666666656,0.10374957062310992
best_effort_p1_n4k2,best_effort,1,4,2,1200,20.0,0.9991666666666666,5.724262830801308,8.939273589238654,10.905442860433658,2.0,0.0008333333333333526,0.016666666666666666
best_effort_p1_n5k2,best_effort,1,5,2,1200,20.0,1.0,5.297912848682245,7.722641519663919,9.034238516005207,2.5,0.0,0.0
best_effort_p1_n5k3,best_effort,1,5,3,1200,20.0,0.9966666666666667,6.469022169852906,9.917508710322181,11.99781927664444,1.6666666666666958,0.0033333333333332993,0.03181865790325901
best_effort_p1_n6k3,best_effort,1,6,3,1200,20.0,1.0,5.929100162073155,8.478006915956211,10.115493148496626,2.0,0.0,0.0
best_effort_p2_n1k1,best_effort,2,1,1,1200,20.0,0.9633333333333334,6.122338299854164,13.391362496172405,17.189267104700786,1.0,0.036666666666666625,0.5266649455703608
best_effort_p2_n2k1,best_effort,2,2,1,1200,20.0,0.9991666666666666,5.115872224745544,9.268785454377939,13.319321795975917,2.0,0.0008333333333333526,0.0021817365274667583
best_effort_p2_n3k1,best_effort,2,3,1,1200,20.0,1.0,4.679463536634103,7.754860805238627,9.756619847488782,3.0,0.0,0.0
best_effort_p2_n3k2,best_effort,2,3,2,1200,20.0,0.9958333333333333,6.4239470938409795,11.308273614918198,14.710803296590672,1.5,0.004166666666666652,0.05317610542724954
best_effort_p2_n4k2,best_effort,2,4,2,1200,20.0,0.9991666666666666,5.737319710344309,9.163039730906894,11.918781524698714,2.0,0.0008333333333333526,0.001486467316838874
best_effort_p2_n5k2,best_effort,2,5,2,1200,20.0,1.0,5.283457858946349,7.920309447577709,9.951813642970265,2.5,0.0,0.0
best_effort_p2_n5k3,best_effort,2,5,3,1200,20.0,0.9983333333333333,6.492957695336372,10.162301900177408,13.496163459543276,1.6666666666666958,0.0016666666666667052,0.030025926361240636
best_effort_p2_n6k3,best_effort,2,6,3,1200,20.0,1.0,5.96884983052405,8.895713748657725,10.29323261354184,2.0,0.0,0.0
tdma_p1_n1k1,tdma,1,1,1,1200,20.0,0.98,3.2172497004266916,4.595424747016409,5.138761492594313,1.0,0.020000000000000018,0.4
tdma_p1_n2k1,tdma,1,2,1,1200,20.0,0.9983333333333333,3.144971335112132,4.329117907609361,4.766009016451826,2.0,0.0016666666666667052,0.03333333333333333
tdma_p1_n3k1,tdma,1,3,1,1200,20.0,1.0,3.0838151637944975,4.22181476970236,4.70688621186684,3.0,0.0,0.0
tdma_p1_n3k2,tdma,1,3,2,1200,20.0,0.9966666666666667,4.205079350622327,5.366229471452925,5.878265387977443,1.5,0.0033333333333332993,0.06666666666666667
tdma_p1_n4k2,tdma,1,4,2,1200,20.0,1.0,4.215525052841258,5.334973405847631,5.922984033930879,2.0,0.0,0.0
tdma_p1_n5k2,tdma,1,5,2,1200,20.0,1.0,4.23990564978476,5.332344932726391,5.733218961254187,2.5,0.0,0.0
tdma_p1_n5k3,tdma,1,5,3,1200,20.0,1.0,5.293321429762727,6.351465445112262,6.890879846826301,1.6666666666666958,0.0,0.0
tdma_p1_n6k3,tdma,1,6,3,1200,20.0,1.0,5.252342857404983,6.371632477330695,6.907017580862121,2.0,0.0,0.0
tdma_p2_n1k1,tdma,2,1,1,1200,20.0,0.98,3.2172497004266916,4.595424747016409,5.138761492594313,1.0,0.020000000000000018,0.4
tdma_p2_n2k1,tdma,2,2,1,1200,20.0,1.0,3.1509091194357097,4.3583995851126005,4.910330972759839,2.0,0.0,0.0
tdma_p2_n3k1,tdma,2,3,1,1200,20.0,1.0,3.167739736731164,4.192573083421143,4.652592179034014,3.0,0.0,0.0
tdma_p2_n3k2,tdma,2,3,2,1200,20.0,0.9983333333333333,4.2499127654591575,5.332792886877723,5.757652660531274,1.5,0.0016666666666667052,0.03333333333333333
tdma_p2_n4k2,tdma,2,4,2,1200,20.0,1.0,4.217764684150097,5.256778183373535,5.791328462201199,2.0,0.0,0.0
tdma_p2_n5k2,tdma,2,5,2,1200,20.0,1.0,4.2125213114561575,5.232126830102243,5.768591592164448,2.5,0.0,0.0
tdma_p2_n5k3,tdma,2,5,3,1200,20.0,1.0,5.2486554963070375,6.389109465004367,6.89716621173231,1.6666666666666958,0.0,0.0
tdma_p2_n6k3,tdma,2,6,3,1200,20.0,1.0,5.262755116892777,6.30792229099734,7.058861028757201,2.0,0.0,0.0
